机故编码,机故详情
1,急停报警
2,机械手X轴-极限报警
3,机械手X轴+极限报警
4,机械手Y轴-极限报警
5,机械手Y轴+极限报警
6,机械手Z轴-极限报警
7,机械手Z轴+极限报警
8,1#进出Y轴-极限报警
9,1#进出Y轴+极限报警
10,安全门被打开
11,机械手X轴伺服报警
12,机械手Y轴伺服报警
13,机械手Z轴伺服报警
14,1#进出轴伺服报警
15,取料真空故障
16,机械手R轴伺服报警
17,取料异常
18,机械手X轴-相机X轴小于安全距离
19,1#拍照气缸进感应器异常
20,1#拍照气缸出感应器异常
21,1#夹具气缸夹紧感应器异常
22,1#夹具气缸张开感应器异常
23,1#扫码气缸张开传感器异常
24,1#扫码气缸压紧传感器异常
25,2#扫码气缸张开传感器异常
26,2#扫码气缸压紧传感器异常
27,机械手R轴伺服报警
28,机械手R轴前限报警！
29,机械手R轴后限报警！
30,2#拍照气缸进感应器异常
31,2#拍照气缸出感应器异常
32,2#夹具气缸夹紧感应器异常
33,2#夹具气缸张开感应器异常
34,2#进出料Y轴伺服报警
35,相机X轴伺服报警
36,MES通讯异常
37,1#进出轴-限报警！
38,2#进出轴+限报警！
39,相机X轴右限位报警！
40,相机X轴左限位报警！
41,1#保压报警
42,2#保压报警
43,1#保压气缸出传感器异常
44,1#保压气缸回传感器异常
45,2#保压气缸出传感器异常
46,2#保压气缸回传感器异常
47,
48,
49,机械手上下气缸1回传感器异常
50,机械手上下气缸1出传感器异常
51,机械手上下气缸2回传感器异常
52,机械手上下气缸2出传感器异常
53,机械手夹取气缸1回传感器异常
54,机械手夹取气缸1出传感器异常
55,机械手夹取气缸2回传感器异常
56,机械手夹取气缸2出传感器异常
57,1#夹具上下气缸回传感器异常
58,1#夹具上下气缸出传感器异常
59,2#夹具上下气缸回传感器异常
60,2#夹具上下气缸出传感器异常
61,
62,
63,1#保压报警
64,2#保压报警
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
