机故编码,机故详情
1,急停报警
2,机械手X轴左极限报警
3,机械手X轴右极限报警
4,机械手Y轴后极限报警
5,机械手Y轴前极限报警
6,机械手Z轴上极限报警
7,机械手Z轴下极限报警
8,1#进出Y轴后极限报警
9,1#进出Y轴前极限报警
10,1#治具Z轴上极限报警
11,机械手X轴伺服报警
12,机械手Y轴伺服报警
13,机械手Z轴伺服报警
14,1#进出轴伺服报警
15,取料真空故障
16,1#吸排线真空故障
17,2#治具X轴回安全过度位丢步报警
18,安全门报警
19,1#拍照气缸进感应器异常
20,1#拍照气缸出感应器异常
21,1#夹具气缸夹紧感应器异常
22,1#夹具气缸张开感应器异常
23,1#治具X轴左极限报警
24,1#治具X轴右极限报警
25,1#治具Z轴下极限报警
26,1#治具X回安全过渡位电机丢步故障
27,机械手R轴伺服报警
28,机械手R轴前限报警！
29,机械手R轴后限报警！
30,2#拍照气缸进感应器异常
31,2#拍照气缸出感应器异常
32,2#夹具气缸夹紧感应器异常
33,2#夹具气缸张开感应器异常
34,2治具X轴左极限报警
35,2#治具X轴右极限报警
36,2#治具Z轴下极限报警
37,2#进出轴后限报警！
38,2#进出轴前限报警！
39,
40,2#穿排线真空故障
41,1#治具X报警
42,2#治具X报警
43,1#保压气缸出传感器异常
44,1#保压气缸回传感器异常
45,2#保压气缸出传感器异常
46,2#保压气缸回传感器异常
47,2#治具Z轴上极限报警
48,2#进出轴伺服异常
49,相机移动X轴伺服异常
50,相机移动X轴右极限报警
51,相机移动X轴左极限报警
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
